what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"6",1334739129562
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334739129562
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1334739129562
java.specification.name,sysinfo,,,"Java Platform API Specification",1334739129562
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334739129562
java.specification.version,sysinfo,,,"1.6",1334739129562
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1334739129562
java.version,sysinfo,,,"1.6.0_30",1334739129562
java.vm.info,sysinfo,,,"mixed mode",1334739129562
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334739129562
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334739129562
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334739129562
java.vm.specification.version,sysinfo,,,"1.0",1334739129562
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1334739129562
java.vm.version,sysinfo,,,"20.5-b03",1334739129562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334739130781
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334739130790
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1334739130801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739137958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1334739154097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739154110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739156302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739637396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739642321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1334739747855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739747865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739749103
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334739750579
error,log,,,"Problems saving workspace",1334739753941
error,log,,,"Problems occurred while trying to save the state of the workbench.",1334739753942
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1334739754023
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1334739754027
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1334739754314
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1334739754314
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1334739754314
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1334739754314
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1334739754315
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1334739754315
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1334739754315
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1334739754315
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1334739754315
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1334739754315
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1334739754316
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1334739754316
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1334739754316
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1334739754316
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1334739754316
